fecha,estacion,temperatura,humedad,precipitacion_mm,estado
2026-01-01,Norte,18.5,55.0,0.0,normal
2026-01-02,Norte,19.2,58.1,0.0,normal
2026-01-03,Norte,25.4,61.2,0.0,revisar
2026-01-04,Norte,26.1,59.4,2.1,revisar
2026-01-05,Sur,8.9,72.4,4.5,revisar
2026-01-06,Sur,21.0,64.5,0.0,normal
2026-01-07,Sur,22.4,60.3,0.0,normal
2026-01-08,Sur,27.0,57.0,0.0,revisar
2026-01-09,Centro,17.5,56.0,0.0,normal
2026-01-10,Centro,24.8,62.0,1.2,revisar
2026-01-11,Centro,10.0,70.0,5.0,revisar
2026-01-12,Centro,20.5,65.0,0.0,normal
2026-01-13,Este,16.8,54.0,0.0,normal
2026-01-14,Este,23.7,60.0,0.0,normal
2026-01-15,Este,28.1,52.0,0.0,revisar
2026-01-16,Este,9.5,76.0,6.2,revisar
2026-01-17,Norte,20.1,57.0,0.0,normal
2026-01-18,Sur,24.5,63.0,0.8,revisar
2026-01-19,Centro,19.0,66.0,0.0,normal
2026-01-20,Este,21.5,58.0,0.0,normal
